 - - - Fold 1/6 - - -

Train volume count: 294
Validation volume count: 76
Validation volumes: ['24' '28' '15' '78' '82' '25' '40' '31' '29' '7' '41' '33' '76' '30' '87'
 '77' '79' '43' '47' '35' '16' '44' '26' '81' '46' '45' '50' '18' '32'
 '21' '85' '3' '19' '2' '20' '17' '49' '42' '84' '39' '86']

Epoch [0001/0300], Training Loss: 1.1942, Validation Loss: 0.5188, Dropout p: 0.30, Patience: 0/75            
Epoch [0002/0300], Training Loss: 1.1827, Validation Loss: 0.3808, Dropout p: 0.30, Patience: 0/75            
Epoch [0003/0300], Training Loss: 1.0259, Validation Loss: 0.5586, Dropout p: 0.30, Patience: 0/75            
Epoch [0004/0300], Training Loss: 0.9845, Validation Loss: 0.7081, Dropout p: 0.30, Patience: 0/75            
Epoch [0005/0300], Training Loss: 0.8701, Validation Loss: 0.5650, Dropout p: 0.30, Patience: 0/75            
Epoch [0006/0300], Training Loss: 0.8183, Validation Loss: 4.0208, Dropout p: 0.30, Patience: 0/75            
Epoch [0007/0300], Training Loss: 0.7645, Validation Loss: 3.1340, Dropout p: 0.30, Patience: 0/75            
Epoch [0008/0300], Training Loss: 0.6777, Validation Loss: 5.1393, Dropout p: 0.30, Patience: 0/75            
Epoch [0009/0300], Training Loss: 0.5451, Validation Loss: 8.5427, Dropout p: 0.30, Patience: 0/75            
Epoch [0010/0300], Training Loss: 0.6592, Validation Loss: 9.5212, Dropout p: 0.30, Patience: 0/75            
Epoch [0011/0300], Training Loss: 0.6331, Validation Loss: 8.0895, Dropout p: 0.30, Patience: 0/75            
Epoch [0012/0300], Training Loss: 0.6394, Validation Loss: 7.7263, Dropout p: 0.30, Patience: 0/75            
Epoch [0013/0300], Training Loss: 0.4896, Validation Loss: 13.2373, Dropout p: 0.30, Patience: 0/75            
Epoch [0014/0300], Training Loss: 0.4501, Validation Loss: 3.4877, Dropout p: 0.30, Patience: 0/75            
Epoch [0015/0300], Training Loss: 0.5389, Validation Loss: 1.6616, Dropout p: 0.30, Patience: 0/75            
Epoch [0016/0300], Training Loss: 0.5075, Validation Loss: 1.8432, Dropout p: 0.30, Patience: 0/75            
Epoch [0017/0300], Training Loss: 0.4700, Validation Loss: 3.0277, Dropout p: 0.30, Patience: 0/75            
Epoch [0018/0300], Training Loss: 0.3885, Validation Loss: 3.3710, Dropout p: 0.30, Patience: 0/75            
Epoch [0019/0300], Training Loss: 0.4465, Validation Loss: 4.8630, Dropout p: 0.30, Patience: 0/75            
Epoch [0020/0300], Training Loss: 0.3976, Validation Loss: 3.0529, Dropout p: 0.30, Patience: 0/75            
Epoch [0021/0300], Training Loss: 0.4241, Validation Loss: 1.1363, Dropout p: 0.30, Patience: 0/75            
Epoch [0022/0300], Training Loss: 0.3676, Validation Loss: 1.1981, Dropout p: 0.30, Patience: 0/75            
Epoch [0023/0300], Training Loss: 0.3555, Validation Loss: 2.8512, Dropout p: 0.30, Patience: 0/75            
Epoch [0024/0300], Training Loss: 0.3732, Validation Loss: 1.8843, Dropout p: 0.30, Patience: 0/75            
Epoch [0025/0300], Training Loss: 0.3393, Validation Loss: 0.9295, Dropout p: 0.30, Patience: 0/75            
Epoch [0026/0300], Training Loss: 0.2672, Validation Loss: 1.5877, Dropout p: 0.30, Patience: 0/75            
Epoch [0027/0300], Training Loss: 0.3626, Validation Loss: 1.7366, Dropout p: 0.30, Patience: 0/75            
Epoch [0028/0300], Training Loss: 0.2968, Validation Loss: 0.8704, Dropout p: 0.30, Patience: 0/75            
Epoch [0029/0300], Training Loss: 0.3662, Validation Loss: 0.7714, Dropout p: 0.30, Patience: 0/75            
Epoch [0030/0300], Training Loss: 0.4020, Validation Loss: 0.8765, Dropout p: 0.30, Patience: 0/75            
Epoch [0031/0300], Training Loss: 0.2838, Validation Loss: 0.5758, Dropout p: 0.30, Patience: 0/75            
Epoch [0032/0300], Training Loss: 0.3075, Validation Loss: 0.5042, Dropout p: 0.30, Patience: 0/75            
Epoch [0033/0300], Training Loss: 0.3231, Validation Loss: 0.8420, Dropout p: 0.30, Patience: 0/75            
Epoch [0034/0300], Training Loss: 0.3240, Validation Loss: 0.9608, Dropout p: 0.30, Patience: 0/75            
Epoch [0035/0300], Training Loss: 0.3230, Validation Loss: 0.4539, Dropout p: 0.30, Patience: 0/75            
Epoch [0036/0300], Training Loss: 0.2859, Validation Loss: 0.7341, Dropout p: 0.30, Patience: 0/75            
Epoch [0037/0300], Training Loss: 0.3459, Validation Loss: 0.4788, Dropout p: 0.30, Patience: 0/75            
Epoch [0038/0300], Training Loss: 0.2810, Validation Loss: 0.4594, Dropout p: 0.30, Patience: 0/75            
Epoch [0039/0300], Training Loss: 0.2793, Validation Loss: 0.4771, Dropout p: 0.30, Patience: 0/75            
Epoch [0040/0300], Training Loss: 0.2775, Validation Loss: 0.5067, Dropout p: 0.30, Patience: 0/75            
Epoch [0041/0300], Training Loss: 0.2584, Validation Loss: 0.4532, Dropout p: 0.30, Patience: 0/75            
Epoch [0042/0300], Training Loss: 0.2219, Validation Loss: 0.3608, Dropout p: 0.30, Patience: 0/75            
Epoch [0043/0300], Training Loss: 0.2718, Validation Loss: 0.4582, Dropout p: 0.30, Patience: 0/75            
Epoch [0044/0300], Training Loss: 0.2878, Validation Loss: 0.2909, Dropout p: 0.30, Patience: 0/75            
Epoch [0045/0300], Training Loss: 0.2765, Validation Loss: 0.2750, Dropout p: 0.30, Patience: 0/75            
Epoch [0046/0300], Training Loss: 0.2221, Validation Loss: 0.4685, Dropout p: 0.30, Patience: 0/75            
Epoch [0047/0300], Training Loss: 0.1924, Validation Loss: 0.4571, Dropout p: 0.30, Patience: 0/75            
Epoch [0048/0300], Training Loss: 0.2078, Validation Loss: 0.3498, Dropout p: 0.30, Patience: 0/75            
Epoch [0049/0300], Training Loss: 0.2019, Validation Loss: 0.3270, Dropout p: 0.30, Patience: 0/75            
Epoch [0050/0300], Training Loss: 0.2159, Validation Loss: 0.2454, Dropout p: 0.30, Patience: 0/75            
Epoch [0051/0300], Training Loss: 0.2310, Validation Loss: 0.3417, Dropout p: 0.30, Patience: 0/75            
Epoch [0052/0300], Training Loss: 0.2301, Validation Loss: 0.2507, Dropout p: 0.30, Patience: 0/75            
Epoch [0053/0300], Training Loss: 0.2191, Validation Loss: 0.3212, Dropout p: 0.30, Patience: 0/75            
Epoch [0054/0300], Training Loss: 0.2188, Validation Loss: 0.3760, Dropout p: 0.30, Patience: 0/75            
Epoch [0055/0300], Training Loss: 0.2750, Validation Loss: 0.2408, Dropout p: 0.30, Patience: 0/75            
Epoch [0056/0300], Training Loss: 0.1790, Validation Loss: 0.2671, Dropout p: 0.30, Patience: 0/75            
Epoch [0057/0300], Training Loss: 0.2006, Validation Loss: 0.3287, Dropout p: 0.30, Patience: 0/75            
Epoch [0058/0300], Training Loss: 0.1746, Validation Loss: 0.2614, Dropout p: 0.30, Patience: 0/75            
Epoch [0059/0300], Training Loss: 0.1933, Validation Loss: 0.2817, Dropout p: 0.30, Patience: 0/75            
Epoch [0060/0300], Training Loss: 0.2159, Validation Loss: 0.2395, Dropout p: 0.30, Patience: 0/75            
Epoch [0061/0300], Training Loss: 0.2088, Validation Loss: 0.2345, Dropout p: 0.30, Patience: 0/75            
Epoch [0062/0300], Training Loss: 0.2086, Validation Loss: 0.2594, Dropout p: 0.30, Patience: 0/75            
Epoch [0063/0300], Training Loss: 0.1784, Validation Loss: 0.1605, Dropout p: 0.30, Patience: 0/75            
Epoch [0064/0300], Training Loss: 0.2518, Validation Loss: 0.1646, Dropout p: 0.30, Patience: 0/75            
Epoch [0065/0300], Training Loss: 0.2018, Validation Loss: 0.2658, Dropout p: 0.30, Patience: 0/75            
Epoch [0066/0300], Training Loss: 0.2176, Validation Loss: 0.1848, Dropout p: 0.30, Patience: 0/75            
Epoch [0067/0300], Training Loss: 0.1625, Validation Loss: 0.2509, Dropout p: 0.30, Patience: 0/75            
